"Hillnumber","Arearef","Alt_Area"
"1269","M17B","0"
"1270","M17B","0"
"1271","M17B","0"
"1272","M17B","0"
"1273","M17B","0"
"1274","M17B","0"
"1275","M17B","0"
"1276","M17B","0"
"1277","M17B","0"
"1278","M17B","0"
"1279","M17C","0"
"1280","M17C","0"
"1281","M17C","0"
"1282","M17C","0"
"1283","M17C","0"
"1284","M17C","0"
"1285","M17C","0"
"1286","M17C","0"
"1287","M17C","0"
"1288","M17C","0"
"1289","M17C","0"
"1290","M17C","0"
"1291","M17C","0"
"1292","M17D","0"
"1293","M17D","0"
"1294","M17D","0"
"1295","M17D","0"
"1296","M17D","0"
"1297","M17D","0"
"1298","M17D","0"
"1299","M17D","0"
"1300","M17D","0"
"1301","M17E","0"
"1302","M17E","0"
"1303","M17E","0"
"1304","M17E","0"
"1305","M17E","0"
"1306","M17E","0"
"1307","M17E","0"
"1308","M17E","0"
"1309","M17E","0"
"1310","M17E","0"
"1311","M17E","0"
"1312","M17E","0"
"1313","M17E","0"
"1314","M17E","0"
"1315","M17E","0"
"1316","M17E","0"
"1317","M17E","0"
"1318","M17E","0"
"1319","M17E","0"
"1320","M17E","0"
"1321","M17E","0"
"1322","M17E","0"
"1323","M17E","0"
"1324","M17E","0"
"1325","M17E","0"
"1326","M17E","0"
"1327","M17E","0"
"1328","M17E","0"
"1329","M17E","0"
"1330","M17E","0"
"1331","M17E","0"
"1332","M17F","0"
"1333","M18A","0"
"1334","M18A","0"
"1335","M18A","0"
"1336","M18A","0"
"1337","M18A","0"
"1338","M18A","0"
"1339","M18A","0"
"1340","M18A","0"
"1341","M18A","0"
"1342","M18A","0"
"1343","M18A","0"
"1344","M18A","0"
"1375","M18C","0"
"1376","M18C","0"
"1377","M18C","0"
"1378","M18C","0"
"1379","M18C","0"
"1380","M18C","0"
"1381","M18C","0"
"1382","M18C","0"
"1383","M18C","0"
"1384","M19A","0"
"1385","M19A","0"
"1386","M19A","0"
"1387","M19A","0"
"1388","M19A","0"
"1389","M19A","0"
"1390","M19A","0"
"1391","M19A","0"
"1392","M19A","0"
"1393","M19A","0"
"1394","M19A","0"
"1395","M19A","0"
"1396","M19A","0"
"1397","M19A","0"
"1398","M19A","0"
"1399","M19A","0"
"1400","M19A","0"
"1401","M19A","0"
"1402","M19A","0"
"1403","M19A","0"
"1404","M19A","0"
"1405","M19A","0"
"1406","M19A","0"
"1407","M19B","0"
"1408","M19B","0"
"1409","M19B","0"
"1410","M19B","0"
"1411","M19B","0"
"1412","M19B","0"
"1413","M19B","0"
"1414","M19B","0"
"1415","M19B","0"
"1416","M19B","0"
"1417","M19B","0"
"1418","M19B","0"
"1419","M19C","0"
"1420","M19C","0"
"1421","M19C","0"
